时间,报警阈值(米),报警点名称,报警点X(米),报警点Y(米),报警点Z(米),标签X(米),标签Y(米),标签Z(米),标签号
37:51.7,0.5,灭火器把手,2.84,0.69,0.5,2.692,0.294,0.75,T0
37:51.7,0.5,油箱顶部,2.86,0.42,0.25,3.256,0.401,0.505,T1
37:51.8,0.5,油箱顶部,2.86,0.42,0.25,2.716,0.278,0.701,T0
37:51.8,0.5,灭火器把手,2.84,0.69,0.5,2.716,0.278,0.701,T0
37:51.8,0.5,油箱顶部,2.86,0.42,0.25,3.24,0.412,0.506,T1
37:51.8,0.5,灭火器把手,2.84,0.69,0.5,3.24,0.412,0.506,T1
37:51.9,0.5,油箱顶部,2.86,0.42,0.25,2.74,0.265,0.66,T0
37:51.9,0.5,灭火器把手,2.84,0.69,0.5,2.74,0.265,0.66,T0
37:51.9,0.5,油箱顶部,2.86,0.42,0.25,3.236,0.422,0.512,T1
37:51.9,0.5,灭火器把手,2.84,0.69,0.5,3.236,0.422,0.512,T1
37:52.0,0.5,油箱顶部,2.86,0.42,0.25,2.761,0.26,0.626,T0
37:52.0,0.5,灭火器把手,2.84,0.69,0.5,2.761,0.26,0.626,T0
37:52.0,0.5,油箱顶部,2.86,0.42,0.25,3.23,0.426,0.511,T1
37:52.0,0.5,灭火器把手,2.84,0.69,0.5,3.23,0.426,0.511,T1
37:52.1,0.5,油箱顶部,2.86,0.42,0.25,2.779,0.26,0.595,T0
37:52.1,0.5,灭火器把手,2.84,0.69,0.5,2.779,0.26,0.595,T0
37:52.1,0.5,油箱顶部,2.86,0.42,0.25,3.219,0.434,0.531,T1
37:52.1,0.5,灭火器把手,2.84,0.69,0.5,3.219,0.434,0.531,T1
37:52.2,0.5,油箱顶部,2.86,0.42,0.25,2.791,0.257,0.575,T0
37:52.2,0.5,灭火器把手,2.84,0.69,0.5,2.791,0.257,0.575,T0
37:52.2,0.5,油箱顶部,2.86,0.42,0.25,3.202,0.44,0.558,T1
37:52.2,0.5,灭火器把手,2.84,0.69,0.5,3.202,0.44,0.558,T1
37:52.3,0.5,油箱顶部,2.86,0.42,0.25,2.793,0.253,0.561,T0
37:52.3,0.5,灭火器把手,2.84,0.69,0.5,2.793,0.253,0.561,T0
37:52.3,0.5,油箱顶部,2.86,0.42,0.25,3.177,0.443,0.579,T1
37:52.3,0.5,灭火器把手,2.84,0.69,0.5,3.177,0.443,0.579,T1
37:52.4,0.5,油箱顶部,2.86,0.42,0.25,2.781,0.242,0.57,T0
37:52.4,0.5,灭火器把手,2.84,0.69,0.5,2.781,0.242,0.57,T0
37:52.4,0.5,油箱顶部,2.86,0.42,0.25,3.155,0.44,0.597,T1
